provider,model,section,pmcid,chars,sec
openrouter,minimax/minimax-m2.7:free,discussion,PMC9021256,4914,2026-09-06 13:00:44
openrouter,minimax/minimax-m2.7:free,discussion,PMC9243032,4414,2026-09-06 13:01:15
openrouter,minimax/minimax-m2.7:free,discussion,PMC9232529,4495,2026-09-06 13:01:39
openrouter,minimax/minimax-m2.7:free,discussion,PMC7060619,5143,2026-09-06 13:02:25
openrouter,minimax/minimax-m2.7:free,discussion,PMC8555350,4403,2026-09-06 13:02:48
openrouter,minimax/minimax-m2.7:free,discussion,PMC9123656,3127,2026-09-06 13:03:25
openrouter,minimax/minimax-m2.7:free,discussion,PMC9209451,4778,2026-09-06 13:04:21
openrouter,minimax/minimax-m2.7:free,discussion,PMC7541325,4093,2026-09-06 13:05:00
openrouter,minimax/minimax-m2.7:free,discussion,PMC6173937,4381,2026-09-06 13:05:30
openrouter,minimax/minimax-m2.7:free,discussion,PMC9162332,5000,2026-09-06 13:05:48
openrouter,minimax/minimax-m2.7:free,discussion,PMC7941911,6317,2026-09-06 13:06:20
openrouter,minimax/minimax-m2.7:free,discussion,PMC8790913,6211,2026-09-06 13:07:10
openrouter,minimax/minimax-m2.7:free,discussion,PMC8474928,4869,2026-09-06 13:07:38
openrouter,minimax/minimax-m2.7:free,discussion,PMC8812018,4638,2026-09-06 13:08:03
openrouter,minimax/minimax-m2.7:free,discussion,PMC9134706,4046,2026-09-06 13:08:44
openrouter,minimax/minimax-m2.7:free,discussion,PMC8117302,4748,2026-09-06 13:09:25
openrouter,minimax/minimax-m2.7:free,discussion,PMC8401202,5496,2026-09-06 13:09:57
openrouter,minimax/minimax-m2.7:free,discussion,PMC9179546,5249,2026-09-06 13:10:25
openrouter,minimax/minimax-m2.7:free,discussion,PMC8651821,4330,2026-09-06 13:10:49
openrouter,minimax/minimax-m2.7:free,discussion,PMC7026120,4765,2026-09-06 13:11:08
openrouter,minimax/minimax-m2.7:free,discussion,PMC8033742,4015,2026-09-06 13:11:28
openrouter,minimax/minimax-m2.7:free,discussion,PMC9226126,5783,2026-09-06 13:11:58
openrouter,minimax/minimax-m2.7:free,discussion,PMC7874477,4706,2026-09-06 13:12:29
openrouter,minimax/minimax-m2.7:free,discussion,PMC9184527,4814,2026-09-06 13:12:54
openrouter,minimax/minimax-m2.7:free,discussion,PMC8686655,5146,2026-09-06 13:13:15
